screen;pfp;block;year;quart;tile;category;fact;plan;fact_prev;mera;;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;val5;color5
плитка 2 OPEX;Факт;все;42017;42017;Средний разряд;Средний разряд;6.6;0;;;;red;0;vs 2016;;;;;;;;
плитка 2 OPEX;Факт;все;42017;42017;Ключевые вакансии;Ключевые вакансии;450;430;;;;red;20;vs 2016;;;;;;;;
плитка 2 OPEX;Факт;все;12018;12018;Ключевые вакансии;Ключевые вакансии;470;510;;;;green;40;vs 2017;;;;;;;;
плитка 2 OPEX;Факт;все;42017;42017;Текучесть персонала;Текучесть персонала;22.5;24;;%;;green;1.5;vs 2016;;;;;;;;
плитка 2 OPEX;Факт;все;12018;12018;Текучесть персонала;Текучесть персонала;24;25;;%;;green;1;vs 2017;;;;;;;;
плитка 2 OPEX;Факт;все;12018;12018;Средний разряд;Средний разряд;6.6;6.6;;;;red;0;vs 2017;;;;;;;;
плитка 2 OPEX;Факт;все;42017;42017;Укомплектованность персонала;Укомплектованность персонала;97;0;;%;;red;0;vs 2016;;;;;;;;
плитка 2 OPEX;Факт;все;12018;12018;Укомплектованность персонала;Укомплектованность персонала;96.6;0;;%;;red;1.4;vs 2017;;;;;;;;
плитка 2 OPEX;Факт;КБ;42017;42017;Средний разряд;Средний разряд; 8.5 ;0;;;;red;0;vs 2016;;;;;;;;
плитка 2 OPEX;Факт;КБ;42017;42017;Ключевые вакансии;Ключевые вакансии;55;78;;;;green;23;vs 2016;;;;;;;;
плитка 2 OPEX;Факт;КБ;12018;12018;Ключевые вакансии;Ключевые вакансии;78;69;;;;red;7;vs 2017;;;;;;;;
плитка 2 OPEX;Факт;КБ;42017;42017;Текучесть персонала;Текучесть персонала;16.8;19.6;;%;;green;2.8;vs 2016;;;;;;;;
плитка 2 OPEX;Факт;КБ;12018;12018;Текучесть персонала;Текучесть персонала;17;15;;%;;red;2;vs 2017;;;;;;;;
плитка 2 OPEX;Факт;КБ;12018;12018;Средний разряд;Средний разряд;9.1;0;;;;red;0;vs 2017;;;;;;;;
плитка 2 OPEX;Факт;КБ;42017;42017;Укомплектованность персонала;Укомплектованность персонала;97;0;;%;;red;1;vs 2016;;;;;;;;
плитка 2 OPEX;Факт;КБ;12018;12018;Укомплектованность персонала;Укомплектованность персонала;96.6;0;;%;;red;1.4;vs 2017;;;;;;;;
