block;quart;modal;category;plan;fact;radius;title;text;lat;long
Все;32018;Карта OPEX по ТБ;;;;30;Центрально-Черноземный банк;в Центрально-Черноземном банке ...;52.636269;39.100789
Все;32018;Карта OPEX по ТБ;;;;25;Уральский банк;в Уральском банке …;56.607673;59.689390
Все;32018;Карта OPEX по ТБ;;;;20;Юго-Западный банк;в Юго-Западном банке …;44.223498;41.138609
Все;32018;Карта OPEX по ТБ;;;;20;Среднерусский банк;в Среднерусском банке …;54.817428;33.854468
Все;32018;Карта OPEX по ТБ;;;;30;Сибирский банк;в Сибирском банке …;64.869264;93.719162
Все;32018;Карта OPEX по ТБ;;;;23;Северо-Западный банк;в Северо-Западном банке ...;67.381542;33.467618
Все;32018;Карта OPEX по ТБ;;;;33;Северный банк;в Северном банке ...;67.690249;48.818185
Все;32018;Карта OPEX по ТБ;;;;25;Байкальский банк;в Байкальском банке ...;70.111249;138.336540
Все;32018;Карта OPEX по ТБ;;;;15;Поволжский банк;в Поволжском банке ...;50.822803;44.838229
Все;32018;Карта OPEX по ТБ;;;;20;Западно-Уральский банк;в Западно-Уральском банке ...;61.540537;52.971007
Все;32018;Карта OPEX по ТБ;;;;30;Западно-Сибирский банк;в Западно-Сибирском банке ...;63.555525;71.550048
Все;32018;Карта OPEX по ТБ;;;;30;Московский банк;в Московском банке ...;55.829703;37.662334
Все;32018;Карта OPEX по ТБ;;;;35;Волго-Вятский банк;в Волго-Вятском банке ...;55.670318;47.881094
Все;32018;Карта OPEX по ТБ;;;;20;Дальневосточный банк;в Дальневосточном банке ...;55.3425;138.8416
Все;32018;CIR;2015;43;44;;;;;
Все;32018;CIR;2016;38.6;39.5;;;;;
Все;32018;CIR;2017;34.8;35.3;;;;;
Все;32018;CIR;2018Q1;27.8;35;;;;;
Все;32018;CIR;2018;0;35;;;;;
Все;32018;CIR;2019;0;32.5;;;;;
Все;32018;CIR;2020;0;30.6;;;;;
