block;quart;tile;category;fact;plan;mera;arrow1;color1;proc1;text1;arrow2;color2;proc2;text2
Все;12018;CIR;;31.5;;%;down;green;2.2%;к 2017г.;down;green;14.6%;к плану
Все;42017;CIR;;42.9;;%;;;-;нет данных за период;up;red;12.3%;к плану
Все;42017;OPEX;;208.7;;млрд. руб.;;;-;нет данных за период;;;-;нет данных за период
Все;12018;OPEX;;153.1;;млрд. руб.;up;red;2%;к номин.;up;red;2%;к реал.
Все;42017;CAPEX;;45.7;;млрд. руб.;;;-;нет данных за период;;;0%;к плану
Все;12018;CAPEX;;19;;млрд. руб.;up;red;40%;к 2017г.;down;green;50%;к плану
Все;42017;Численность;;247;;тыс. чел.;;;-;нет данных за период;down;green;3.1%;к плану
Все;12018;Численность;;270;;тыс. чел.;up;red;7.8%;к 2017г.;up;red;2.2%;к плану
Все;42017;Категории расходов;Персонал;92.5;-;;;;;;;;;
Все;42017;Категории расходов;Недвижимость;15.9;-;;;;;;;;;
Все;42017;Категории расходов;ИТ;23.9;-;;;;;;;;;
Все;42017;Категории расходов;Бизнес;13.2;-;;;;;;;;;
Все;42017;Категории расходов;Налоги;11;-;;;;;;;;;
Все;42017;Категории расходов;Прочее;18.2;-;;;;;;;;;
Все;12018;Категории расходов;Персонал;84.7;+10.3%;;;;;;;;;
Все;12018;Категории расходов;Недвижимость;11.2;-1.8%;;;;;;;;;
Все;12018;Категории расходов;ИТ;10.4;+0.9%;;;;;;;;;
Все;12018;Категории расходов;Бизнес;5.1;+7.1%;;;;;;;;;
Все;12018;Категории расходов;Налоги;3.7;-1.5%;;;;;;;;;
Все;12018;Категории расходов;Прочее;6.1;-3.3%;;;;;;;;;
Все;12018;ФОКУС;Расходы на недвижимость;-3;;;;;;;;;;%
Все;12018;ФОКУС;Экономия от PUSH-уведомлений;600;;млн. руб.;;;;;;;;
Все;12018;ФОКУС;Заезды ЦУНДО и сохранение парка УС;+17;;;;;;;;;;%
Все;12018;ФОКУС;Расходы на персонал;+5;;;;;;;;;;%
Все;12018;ФОКУС;Выполнение КПЭ по ограничению оплаты труда;2;;блока;;;;;;;;
Все;42017;ФОКУС;Расходы на недвижимость;н/д;;;;;;;;;;
Все;42017;ФОКУС;Экономия от PUSH-уведомлений;н/д;;;;;;;;;;
Все;42017;ФОКУС;Заезды ЦУНДО и сохранение парка УС;н/д;;;;;;;;;;
Все;42017;ФОКУС;Расходы на персонал;н/д;;;;;;;;;;
Все;42017;ФОКУС;Выполнение КПЭ по ограничению оплаты труда;н/д;;;;;;;;;;
;;;;;;;;;;;;;;
